Date, Open, High, Low, Close
1/3/2017,2251.57,2263.88,2245.13,2257.83
1/4/2017,2261.6,2272.82,2261.6,2270.75
1/5/2017,2268.18,2271.5,2260.45,2269
1/6/2017,2271.14,2282.1,2264.06,2276.98
1/9/2017,2273.59,2275.49,2268.9,2268.9
1/10/2017,2269.72,2279.27,2265.27,2268.9
1/11/2017,2268.6,2275.32,2260.83,2275.32
1/12/2017,2271.14,2271.78,2254.25,2270.44
1/13/2017,2272.74,2278.68,2271.51,2274.64
1/17/2017,2269.14,2272.08,2262.81,2267.89
1/18/2017,2269.14,2272.01,2263.35,2271.89
1/19/2017,2271.9,2274.33,2258.41,2263.69
1/20/2017,2269.96,2276.96,2265.01,2271.31
1/23/2017,2267.78,2271.78,2257.02,2265.2
1/24/2017,2267.88,2284.63,2266.68,2280.07
1/25/2017,2288.88,2299.55,2288.88,2298.37
1/26/2017,2298.63,2300.99,2294.08,2296.68
1/27/2017,2299.02,2299.02,2291.62,2294.69
1/30/2017,2286.01,2286.01,2268.04,2280.9
1/31/2017,2274.02,2279.09,2267.21,2278.87
2/1/2017,2285.59,2289.14,2272.44,2279.55
2/2/2017,2276.69,2283.97,2271.65,2280.85
2/3/2017,2288.54,2298.31,2287.88,2297.42
2/6/2017,2294.28,2296.18,2288.57,2292.56
2/7/2017,2295.87,2299.4,2290.16,2293.08
2/8/2017,2289.55,2295.91,2285.38,2294.67
2/9/2017,2296.7,2311.08,2296.61,2307.87
2/10/2017,2312.27,2319.23,2311.1,2316.1
2/13/2017,2321.72,2331.58,2321.42,2328.25
2/14/2017,2326.12,2337.58,2322.17,2337.58
2/15/2017,2335.58,2351.3,2334.81,2349.25
2/16/2017,2349.64,2351.31,2338.87,2347.22
2/17/2017,2343.01,2351.16,2339.58,2351.16
2/21/2017,2354.91,2366.71,2354.91,2365.38
2/22/2017,2361.11,2365.13,2358.34,2362.82
2/23/2017,2367.5,2368.26,2355.09,2363.81
2/24/2017,2355.73,2367.34,2352.87,2367.34
2/27/2017,2365.23,2371.54,2361.87,2369.75
2/28/2017,2366.08,2367.79,2358.96,2363.64
3/1/2017,2380.13,2400.98,2380.13,2395.96
3/2/2017,2394.75,2394.75,2380.17,2381.92
3/3/2017,2380.92,2383.89,2375.39,2383.12
3/6/2017,2375.23,2378.8,2367.98,2375.31
3/7/2017,2370.74,2375.12,2365.51,2368.39
3/8/2017,2369.81,2373.09,2361.01,2362.98
3/9/2017,2363.49,2369.08,2354.54,2364.87
3/10/2017,2372.52,2376.86,2363.04,2372.6
3/13/2017,2371.56,2374.42,2368.52,2373.47
3/14/2017,2368.55,2368.55,2358.18,2365.45
3/15/2017,2370.34,2390.01,2368.94,2385.26
