Fed insterest rate,DATE,DFF,Euro exchange rates, Open, High, Low, Close,gold,Close/Last,Volume,Open,High,Low
,5/3/2017,0.91,,1.0957,1.0957,1.0882,1.0886,,1250,300815,1248.5,1251.4,1237.2
,5/4/2017,0.91,,1.0885,1.0989,1.0876,1.0985,,1232.9,262903,1249.9,1250.8,1231.1
,5/5/2017,0.91,,1.0984,1.1001,1.0953,1.0998,,1226.5,268970,1234.8,1236.7,1223
,5/6/2017,0.91,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A
,5/7/2017,0.91,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A
,5/8/2017,0.91,,1.0998,1.0998,1.0917,1.0924,,1225.5,154275,1233.9,1237.3,1225
,5/9/2017,0.91,,1.0925,1.0936,1.0863,1.0875,,1216.1,195645,1225.7,1227.4,1214.1
,5/10/2017,0.91,,1.0874,1.0899,1.0854,1.087,,1209.4,200792,1215.6,1218.5,1206.4
,5/11/2017,0.91,,1.0869,1.0894,1.0839,1.0862,,1203.2,226026,1207.7,1208.9,1199
,5/12/2017,0.91,,1.0861,1.0935,1.0856,1.0932,,1201.4,250514,1200.2,1206.2,1194.5
,5/13/2017,0.91,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A
,5/14/2017,0.91,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A
,5/15/2017,0.91,,1.0932,1.0991,1.0922,1.0975,,1203.1,168436,1205,1210.9,1202
,5/16/2017,0.91,,1.0974,1.1099,1.0974,1.1082,,1202.6,176653,1203.5,1207.5,1196.9
,5/17/2017,0.91,,1.1081,1.1163,1.108,1.1159,,1200.7,256440,1198.7,1222,1196.8
,5/18/2017,0.91,,1.116,1.1174,1.1077,1.1102,,1227.1,243137,1219.5,1234,1218.1
,5/19/2017,0.91,,1.1103,1.1213,1.1098,1.1206,,1230.2,146933,1226.2,1231.5,1224
,5/20/2017,0.91,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A
,5/21/2017,0.91,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A
,5/22/2017,0.91,,1.1206,1.1264,1.1161,1.1238,,1234,122559,1229,1235.5,1228.8
,5/23/2017,0.91,,1.1239,1.1268,1.1175,1.1183,,1246.5,278090,1234.2,1247.7,1226.6
,5/24/2017,0.91,,1.1184,1.1222,1.1168,1.122,,1249.7,210181,1244.5,1251.5,1243.8
,5/25/2017,0.91,,1.1223,1.1251,1.1194,1.1211,,1250.1,38955,1251.5,1256.4,1245.6
,5/26/2017,0.91,,1.1212,1.1235,1.1161,1.1181,,1251.7,50728,1248.2,1255,1243.7
,5/27/2017,0.91,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A
,5/28/2017,0.91,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A
,5/29/2017,0.91,,1.1181,1.1192,1.1161,1.1163,,1258.8,70055,1247.2,1264.2,1247.2
,5/30/2017,0.91,,1.1165,1.1204,1.111,1.1186,,1258.8,110672,1257.1,1261.4,1250.5
,5/31/2017,0.83,,1.1185,1.1254,1.1164,1.1244,,1256.8,157858,1253,1257.5,1250
,6/1/2017,0.91,,1.1243,1.1258,1.1202,1.1212,,1248,211199,1256.1,1256.5,1244.2
,6/2/2017,0.91,,1.1214,1.1286,1.1204,1.1281,,1251.2,158381,1244.6,1252.8,1241.5
,6/3/2017,0.91,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A
,6/4/2017,0.91,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A
